gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
BZW1 /// BZW1L1,6.98,7.11,0.36,0.43,0.026,0.2672,25,0.3756
TMEM2,5.64,5.74,0.73,0.5,0.026,0.5650,25,0.6698
NCALD,3.83,3.76,0.8,0.67,-0.026,0.7630,25,0.8320
NRG2,2.32,2.28,0.17,0.14,-0.026,0.1704,25,0.2609
RPS3A,9.62,9.79,0.13,0.17,0.026,0.0015,25,0.0043
EMX2,2.31,2.27,0.23,0.22,-0.026,0.5375,25,0.6455
COL2A1,2.47,2.51,0.32,0.8,0.026,0.7852,25,0.8486
SNORA2A,2.29,2.33,0.17,0.27,0.026,0.5177,25,0.6280
GNAT1,2.39,2.43,0.16,0.18,0.026,0.2827,25,0.3927
FAU,12.17,12.39,0.18,0.16,0.026,3.42e-04,25,0.0012
RTP2,2.3,2.34,0.16,0.18,0.026,0.3494,25,0.4651
XPR1,4.14,4.22,0.17,0.29,0.026,0.2601,25,0.3678
GJD2,2.29,2.25,0.22,0.17,-0.026,0.4919,25,0.6039
DGCR2,3.84,3.77,0.22,0.21,-0.026,0.2410,25,0.3460
EFHC1,3.0,3.06,0.26,0.18,0.026,0.4588,25,0.5727
TSNAX,7.87,8.02,0.36,0.28,0.026,0.1556,25,0.2424
C12orf69,2.24,2.2,0.1,0.1,-0.026,0.1881,25,0.2829
C20orf123,2.35,2.31,0.2,0.21,-0.026,0.4566,25,0.5708
SGCZ,2.62,2.57,0.2,0.15,-0.026,0.3115,25,0.4250
CYP4Z2P,2.0,1.96,0.13,0.16,-0.026,0.4040,25,0.5205
TAS2R39,2.18,2.22,0.17,0.18,0.026,0.3560,25,0.4718
C1orf158,2.7,2.65,0.39,0.18,-0.026,0.5777,25,0.6805
EIF2AK3,6.39,6.28,0.67,0.34,-0.026,0.4726,25,0.5862
LIMS3 /// LIMS3-LOC440895,2.54,2.59,0.2,0.24,0.026,0.5247,25,0.6343
NCRNA00235,2.44,2.48,0.19,0.19,0.026,0.4706,25,0.5846
PXDNL,2.38,2.33,0.23,0.18,-0.026,0.4855,25,0.5981
LOC29034,2.41,2.45,0.28,0.2,0.026,0.4727,25,0.5863
IL18BP,3.39,3.33,0.31,0.44,-0.026,0.6083,25,0.7062
ARPC5,9.09,8.93,0.32,0.2,-0.026,0.0414,25,0.0788
PRR23B,2.18,2.14,0.2,0.25,-0.026,0.4213,25,0.5375
SEPSECS,5.05,4.97,0.51,0.57,-0.026,0.5433,25,0.6503
ODF1,2.52,2.48,0.21,0.23,-0.026,0.4574,25,0.5715
ZC3H14,6.86,6.74,0.13,0.3,-0.026,0.0804,25,0.1393
ANGPTL3,2.01,1.97,0.16,0.08,-0.026,0.3646,25,0.4808
ZBTB46,2.83,2.78,0.19,0.25,-0.026,0.4991,25,0.6106
C9orf69,8.26,8.12,0.24,0.31,-0.026,0.1020,25,0.1705
HELZ,6.44,6.55,0.2,0.32,0.026,0.1807,25,0.2736
CLASP1,3.99,4.06,0.26,0.2,0.026,0.3033,25,0.4159
ASIP,2.62,2.67,0.23,0.2,0.026,0.4463,25,0.5611
IGLON5,2.28,2.24,0.12,0.13,-0.026,0.2967,25,0.4087
GMIP,3.98,3.91,0.45,0.22,-0.026,0.5309,25,0.6399
WFDC11,2.33,2.37,0.35,0.23,0.026,0.5814,25,0.6837
ADAMTS2,2.76,2.81,0.2,0.29,0.026,0.5321,25,0.6411
YWHAZ,9.22,9.38,0.22,0.32,0.026,0.0418,25,0.0795
TMEM55B,6.09,5.98,0.27,0.31,-0.026,0.1939,25,0.2901
VPS52,4.76,4.84,0.24,0.31,0.026,0.2730,25,0.3819
KCNC1,2.29,2.33,0.09,0.16,0.026,0.2818,25,0.3917
HAS3,3.32,3.38,0.38,0.38,0.026,0.4927,25,0.6046
MAEA,5.85,5.75,0.29,0.42,-0.026,0.3028,25,0.4153
FGF3,2.36,2.32,0.25,0.22,-0.026,0.4970,25,0.6085
YLPM1,4.26,4.34,0.17,0.25,0.026,0.2600,25,0.3677
TCEAL4,8.69,8.85,0.92,0.68,0.026,0.5105,25,0.6214
PTX4,2.32,2.28,0.24,0.14,-0.026,0.3979,25,0.5142
GLIPR1,5.55,5.65,0.97,0.92,0.026,0.7287,25,0.8053
EIF2B1,6.14,6.25,0.36,0.5,0.026,0.2882,25,0.3990
LOC100128542,2.4,2.36,0.19,0.16,-0.026,0.3656,25,0.4818
PDCD1,2.78,2.73,0.2,0.15,-0.026,0.3367,25,0.4514
ORAI3,4.96,4.87,0.3,0.37,-0.026,0.3284,25,0.4428
ZCCHC11,4.63,4.71,0.55,0.39,0.026,0.5997,25,0.6991
SDCCAG1,6.91,6.79,0.22,0.29,-0.026,0.0823,25,0.1421
PRB3,2.41,2.45,0.21,0.18,0.025,0.4791,25,0.5925
PLEKHM2,5.09,5.0,0.19,0.22,-0.025,0.1971,25,0.2940
BCAS3,4.88,4.79,0.36,0.47,-0.025,0.4875,25,0.6000
TRIM25,5.23,5.14,0.39,0.42,-0.025,0.3723,25,0.4887
IL17RD,2.89,2.94,0.38,0.38,0.025,0.6297,25,0.7246
POMT2,3.84,3.91,0.28,0.26,0.025,0.2949,25,0.4066
DEFB112,2.2,2.16,0.22,0.11,-0.025,0.4701,25,0.5841
PTP4A2,10.11,9.93,0.17,0.35,-0.025,0.0356,25,0.0692
CEP170,3.87,3.94,0.3,0.3,0.025,0.4919,25,0.6039
IFNA2,1.98,1.94,0.09,0.09,-0.025,0.2323,25,0.3359
GYPB,2.44,2.4,0.14,0.13,-0.025,0.2821,25,0.3920
KCNH6,2.42,2.38,0.19,0.15,-0.025,0.3645,25,0.4808
RGAG1,2.2,2.24,0.11,0.1,0.025,0.2551,25,0.3624
GMEB1,4.87,4.79,0.25,0.26,-0.025,0.2159,25,0.3165
RNF139,5.24,5.14,0.19,0.3,-0.025,0.1390,25,0.2205
TBX19,3.28,3.23,0.24,0.16,-0.025,0.3724,25,0.4887
ZFP92,2.41,2.37,0.18,0.2,-0.025,0.4707,25,0.5847
C20orf197,2.33,2.29,0.08,0.08,-0.025,0.1117,25,0.1837
NDUFS8,6.38,6.5,0.16,0.23,0.025,0.0644,25,0.1152
TMEM51,7.94,7.8,0.19,0.36,-0.025,0.0733,25,0.1287
TAS2R10,2.11,2.15,0.11,0.15,0.025,0.3353,25,0.4498
POTEC,2.14,2.1,0.14,0.11,-0.025,0.3686,25,0.4848
LCN9,2.21,2.25,0.26,0.14,0.025,0.5373,25,0.6453
F8A1 /// F8A2 /// F8A3,5.61,5.71,0.13,0.32,0.025,0.1529,25,0.2387
OR7A5,2.45,2.49,0.19,0.13,0.025,0.3350,25,0.4496
ZNF776,3.49,3.43,0.11,0.21,-0.025,0.1593,25,0.2470
FUZ,4.12,4.04,0.26,0.48,-0.025,0.5577,25,0.6639
ZNHIT1,8.94,9.1,0.19,0.37,0.025,0.0358,25,0.0695
IRX6,2.79,2.84,0.32,0.19,0.025,0.4728,25,0.5863
TGM7,2.23,2.27,0.15,0.17,0.025,0.3876,25,0.5037
HNF4A,3.81,3.88,0.6,0.54,0.025,0.6729,25,0.7604
VPREB1,2.17,2.13,0.2,0.16,-0.025,0.4512,25,0.5655
C1orf170,2.51,2.46,0.19,0.19,-0.025,0.4508,25,0.5652
ZDHHC5,6.49,6.61,0.37,0.33,0.025,0.3098,25,0.4232
ZNF57,5.79,5.69,0.65,0.43,-0.025,0.5447,25,0.6519
STAG3L1 /// STAG3L2 /// STAG3L3,3.29,3.35,0.5,0.51,0.025,0.6698,25,0.7577
NFIL3,7.12,7.0,0.56,0.68,-0.025,0.5191,25,0.6293
KCNMB4,4.23,4.31,1.18,1.45,0.025,0.8683,25,0.9099
MPZL3,3.55,3.49,0.34,0.21,-0.025,0.4268,25,0.5429
LOC100293149 /// PPP1R3F,2.18,2.21,0.2,0.17,0.025,0.4620,25,0.5759
LOC284441,2.51,2.46,0.26,0.17,-0.025,0.4693,25,0.5833
C1orf84,2.15,2.19,0.16,0.16,0.025,0.4062,25,0.5225
PARP3,5.64,5.54,0.24,0.5,-0.025,0.4206,25,0.5368
TRPC5,2.27,2.24,0.13,0.14,-0.025,0.2604,25,0.3680
IL5,2.64,2.6,0.23,0.26,-0.025,0.5576,25,0.6638
TIGIT,2.59,2.55,0.27,0.17,-0.025,0.5083,25,0.6193
BEND2,2.24,2.21,0.14,0.09,-0.025,0.2440,25,0.3496
PNMA5,2.49,2.44,0.16,0.14,-0.025,0.3539,25,0.4696
FAR1,6.02,5.92,0.36,0.36,-0.025,0.3356,25,0.4502
RUNDC2A,2.26,2.22,0.2,0.16,-0.025,0.5110,25,0.6218
ADIG,2.22,2.18,0.16,0.19,-0.025,0.4506,25,0.5650
SERAC1,3.02,2.97,0.2,0.25,-0.025,0.3671,25,0.4832
ANAPC2 /// LOC650621,2.43,2.48,0.22,0.15,0.025,0.4997,25,0.6110
C14orf179,6.96,6.84,0.25,0.34,-0.025,0.1765,25,0.2683
MBOAT2,5.86,5.76,0.45,1.01,-0.025,0.6536,25,0.7442
UBR3,5.09,5.18,0.27,0.32,0.025,0.3347,25,0.4493
PATE4,2.49,2.45,0.18,0.14,-0.025,0.3074,25,0.4206
LOC100132832 /// LOC441259 /// PMS2L1 /// PMS2L2 /// PMS2L3 /// PMS2L4 /// PMS2L5,1.89,1.93,0.21,0.19,0.025,0.5249,25,0.6344
IL6,3.13,3.18,0.83,0.62,0.025,0.8142,25,0.8701
ARHGEF10,3.64,3.71,0.32,0.59,0.025,0.6863,25,0.7708
ATP2C2,4.98,5.06,0.66,0.38,0.025,0.5849,25,0.6867
CKAP4,9.05,9.2,0.47,0.55,0.025,0.3336,25,0.4482
ARL6IP4,6.9,7.02,0.23,0.26,0.025,0.0924,25,0.1567
MLH1,4.44,4.52,0.18,0.32,0.025,0.2635,25,0.3714
SP7,2.73,2.78,0.19,0.2,0.025,0.4440,25,0.5589
TAS2R38,2.37,2.33,0.18,0.2,-0.025,0.4441,25,0.5591
ZNF417,2.42,2.38,0.13,0.18,-0.025,0.4502,25,0.5648
ANKRD34B,2.11,2.07,0.18,0.15,-0.025,0.4936,25,0.6053
SOLH,6.18,6.29,0.63,0.33,0.025,0.4958,25,0.6073
PKP2,7.59,7.46,1.33,0.83,-0.025,0.6770,25,0.7638
METTL7B,8.01,7.87,1.49,0.69,-0.025,0.7261,25,0.8032
BTF3 /// BTF3L2,11.14,11.34,0.19,0.29,0.025,0.0070,25,0.0166
CLN3,6.24,6.35,0.57,0.49,0.025,0.5461,25,0.6530
LOC100130539,2.54,2.5,0.25,0.21,-0.025,0.4697,25,0.5837
OR4P4,2.28,2.24,0.2,0.17,-0.025,0.3920,25,0.5083
FAT2,2.23,2.19,0.26,0.24,-0.025,0.5864,25,0.6879
FBXO31,6.33,6.22,0.27,0.39,-0.025,0.2663,25,0.3746
H3F3A,2.01,1.98,0.13,0.11,-0.025,0.3114,25,0.4249
PURG,2.4,2.36,0.13,0.12,-0.025,0.2332,25,0.3371
ZNF366,2.16,2.2,0.14,0.19,0.025,0.4510,25,0.5653
CCDC144A,2.47,2.51,0.19,0.17,0.025,0.3659,25,0.4820
PCDHB18,2.48,2.52,0.26,0.14,0.025,0.5153,25,0.6258
EIF1,11.81,12.01,0.21,0.28,0.025,0.0068,25,0.0163
FLJ14107,2.76,2.72,0.22,0.16,-0.025,0.3746,25,0.4909
NLRP8,2.35,2.39,0.15,0.11,0.025,0.2929,25,0.4046
CBY1,7.13,7.01,0.59,0.38,-0.025,0.3886,25,0.5048
C10orf93,2.38,2.34,0.18,0.14,-0.025,0.3648,25,0.4810
ROPN1 /// ROPN1B,2.79,2.84,0.25,0.33,0.025,0.5793,25,0.6818
AUTS2,3.98,4.05,0.18,0.33,0.025,0.4202,25,0.5364
BOLA1,6.82,6.7,0.42,0.88,-0.025,0.5656,25,0.6703
GUCY1B2,2.23,2.27,0.12,0.14,0.025,0.3303,25,0.4446
C11orf2,7.29,7.41,0.3,0.62,0.025,0.3494,25,0.4651
ZNF678,2.11,2.15,0.14,0.13,0.025,0.3884,25,0.5045
OR1Q1,2.83,2.88,0.17,0.24,0.025,0.4520,25,0.5661
CBLN4,2.43,2.47,0.16,0.17,0.025,0.3233,25,0.4374
IER3IP1,7.82,7.96,0.21,0.57,0.025,0.2640,25,0.3719
HIST1H3A,2.2,2.17,0.18,0.15,-0.025,0.4243,25,0.5405
C21orf62,2.34,2.38,0.14,0.13,0.025,0.3213,25,0.4353
PPIG,7.3,7.43,0.23,0.3,0.025,0.1372,25,0.2182
NME3,7.8,7.67,0.3,0.37,-0.025,0.1871,25,0.2817
TSC2,4.47,4.54,0.23,0.25,0.025,0.3573,25,0.4730
SDHAF2,7.77,7.63,0.2,0.36,-0.025,0.0641,25,0.1148
PSMA8,2.13,2.09,0.19,0.13,-0.025,0.3797,25,0.4959
TRIM50,2.92,2.87,0.17,0.2,-0.025,0.4061,25,0.5224
YTHDC1,4.84,4.75,0.22,0.23,-0.025,0.2062,25,0.3048
C7orf62,2.29,2.25,0.18,0.14,-0.025,0.4059,25,0.5223
DEFB132,2.57,2.52,0.19,0.16,-0.025,0.4156,25,0.5319
OR2M2,2.15,2.18,0.13,0.13,0.025,0.2295,25,0.3326
MTERFD3,5.05,4.97,0.55,0.45,-0.025,0.4079,25,0.5240
HPR,2.36,2.32,0.22,0.24,-0.025,0.4770,25,0.5905
DBNDD2 /// SYS1 /// SYS1-DBNDD2,9.78,9.95,0.26,0.59,0.025,0.1806,25,0.2735
CARD9,2.85,2.89,0.16,0.38,0.025,0.4985,25,0.6099
RAB5C,7.33,7.21,0.37,0.48,-0.025,0.3064,25,0.4195
MYF6,2.25,2.29,0.26,0.2,0.025,0.5693,25,0.6732
BAZ2B,6.65,6.53,0.29,0.67,-0.025,0.4667,25,0.5807
ZMYM6,4.14,4.07,0.12,0.23,-0.025,0.2429,25,0.3484
NPPC,2.28,2.24,0.19,0.22,-0.025,0.4842,25,0.5969
C2orf57,2.52,2.47,0.23,0.2,-0.025,0.5082,25,0.6192
ACTR1B,6.49,6.38,0.23,0.39,-0.025,0.2394,25,0.3442
SCT,3.96,4.03,0.34,0.91,0.025,0.7234,25,0.8010
EFCAB3,2.33,2.37,0.25,0.17,0.025,0.5921,25,0.6924
KCNG2,2.91,2.86,0.26,0.23,-0.025,0.4151,25,0.5314
ABCB4,2.62,2.67,0.11,0.2,0.025,0.3652,25,0.4813
LOC643332 /// RNASE2,2.35,2.31,0.31,0.23,-0.025,0.6640,25,0.7530
CD226,2.4,2.36,0.21,0.15,-0.025,0.4841,25,0.5969
DR1,6.34,6.45,0.21,0.41,0.025,0.2616,25,0.3693
ZNF394,4.67,4.75,0.14,0.25,0.025,0.1144,25,0.1873
ARL2,4.61,4.69,0.23,0.33,0.025,0.3364,25,0.4512
CACNA2D1,2.6,2.56,0.18,0.19,-0.025,0.4586,25,0.5726
C14orf119,4.55,4.47,0.11,0.13,-0.025,0.0466,25,0.0874
PQLC3,6.31,6.2,0.58,0.63,-0.025,0.5548,25,0.6611
C20orf69,2.46,2.5,0.23,0.21,0.025,0.5185,25,0.6288
FAM108A1 /// FAM108A4,9.27,9.12,0.15,0.28,-0.025,0.0333,25,0.0654
APOBEC4,2.88,2.93,0.35,0.26,0.025,0.5683,25,0.6725
SDF4,5.53,5.44,0.27,0.16,-0.025,0.1957,25,0.2922
ERP44,7.0,6.88,0.23,0.31,-0.025,0.1674,25,0.2571
CST8,2.76,2.72,0.29,0.19,-0.025,0.5823,25,0.6843
KIAA1841,2.9,2.95,0.12,0.27,0.025,0.4434,25,0.5583
OR6T1,2.3,2.34,0.2,0.18,0.025,0.4682,25,0.5821
TOP3B,3.05,3.11,0.17,0.18,0.025,0.3324,25,0.4469
DUX1 /// DUX3 /// DUX5,2.64,2.6,0.33,0.27,-0.025,0.6244,25,0.7199
GPR68,3.28,3.22,0.22,0.31,-0.025,0.4562,25,0.5705
MYH6 /// MYH7,2.44,2.48,0.24,0.18,0.025,0.4571,25,0.5713
PLEKHA1,7.4,7.53,0.26,0.38,0.025,0.1988,25,0.2961
C2orf78,2.08,2.12,0.16,0.16,0.025,0.5170,25,0.6273
LOC100288309,2.44,2.4,0.22,0.22,-0.025,0.5352,25,0.6437
H3F3C,2.09,2.05,0.13,0.13,-0.025,0.3365,25,0.4513
TBCK,7.02,7.14,0.29,0.57,0.025,0.3230,25,0.4370
OR4C3,2.61,2.66,0.22,0.2,0.025,0.4247,25,0.5408
KRT28,2.02,2.06,0.14,0.15,0.025,0.4404,25,0.5557
MEPE,2.85,2.81,0.18,0.23,-0.025,0.4583,25,0.5723
DLX2,2.44,2.39,0.1,0.15,-0.025,0.2740,25,0.3830
BPIL3,2.27,2.23,0.18,0.14,-0.025,0.3787,25,0.4949
ANXA8L1,2.57,2.53,0.17,0.19,-0.025,0.4913,25,0.6036
UNC50,7.88,8.02,0.17,0.38,0.025,0.1048,25,0.1743
LRRC8D,4.82,4.91,0.4,0.25,0.025,0.4029,25,0.5193
LOC100129321 /// LOC100130751 /// LOC100131851 /// SSBP3,4.43,4.35,0.37,0.33,-0.025,0.3858,25,0.5020
HTR7P1,2.91,2.86,0.37,0.35,-0.025,0.6406,25,0.7334
SNX17,7.26,7.14,0.16,0.48,-0.025,0.2248,25,0.3268
RBP4,5.59,5.49,1.23,1.11,-0.025,0.7823,25,0.8461
ALDH9A1,7.37,7.24,0.25,0.4,-0.025,0.1874,25,0.2820
OR52K2,2.33,2.29,0.18,0.15,-0.025,0.3319,25,0.4463
CMPK1,8.92,8.77,0.31,0.51,-0.025,0.2206,25,0.3222
FCF1,4.3,4.37,0.19,0.22,0.025,0.2036,25,0.3016
SMC5,5.99,5.89,0.41,0.46,-0.025,0.4505,25,0.5649
GSC2,2.61,2.57,0.21,0.21,-0.025,0.3954,25,0.5118
ERVFRDE1,2.33,2.3,0.13,0.15,-0.025,0.4086,25,0.5247
TMEM170B,4.92,5.0,1.1,0.99,0.025,0.7942,25,0.8554
ZNF527,3.23,3.17,0.33,0.3,-0.025,0.5225,25,0.6322
TMEM31,2.36,2.4,0.21,0.16,0.025,0.4406,25,0.5559
DMRTC2,2.61,2.57,0.15,0.14,-0.025,0.3141,25,0.4280
FASTK,5.77,5.87,0.24,0.37,0.025,0.2561,25,0.3634
MYLPF,3.07,3.13,0.24,0.17,0.025,0.4093,25,0.5256
VTA1,6.79,6.68,0.37,0.33,-0.025,0.2900,25,0.4011
LOC440313,2.7,2.66,0.21,0.23,-0.025,0.4184,25,0.5346
ZNF66,2.1,2.06,0.18,0.14,-0.025,0.3946,25,0.5108
DLGAP1,2.25,2.21,0.1,0.1,-0.025,0.1512,25,0.2366
MGC50722,2.69,2.64,0.2,0.27,-0.024,0.5671,25,0.6714
PRAMEF10,2.08,2.04,0.18,0.19,-0.024,0.5290,25,0.6381
NGRN,4.5,4.43,0.22,0.19,-0.024,0.2496,25,0.3563
FLJ33534,2.25,2.29,0.2,0.18,0.024,0.3935,25,0.5096
SHISA7,2.72,2.68,0.18,0.13,-0.024,0.3193,25,0.4333
FOXR1,2.66,2.62,0.29,0.18,-0.024,0.4260,25,0.5420
GRIK5,3.25,3.2,0.21,0.2,-0.024,0.3660,25,0.4822
BBS9,2.86,2.91,0.2,0.24,0.024,0.4098,25,0.5261
RAB41,2.31,2.35,0.15,0.17,0.024,0.3139,25,0.4278
PTPN5,2.2,2.16,0.13,0.13,-0.024,0.3183,25,0.4323
SNCAIP,3.72,3.65,0.47,1.06,-0.024,0.7501,25,0.8220
RPL21,12.43,12.64,0.2,0.27,0.024,0.0115,25,0.0258
TEX12,2.56,2.52,0.15,0.19,-0.024,0.4842,25,0.5969
C9orf117,2.2,2.24,0.16,0.14,0.024,0.3735,25,0.4896
GAGE1 /// GAGE12B /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE12J /// GAGE13 /// GAGE2A /// GAGE2B /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8,1.88,1.85,0.14,0.11,-0.024,0.4416,25,0.5566
BBOX1,2.19,2.23,0.14,0.14,0.024,0.2418,25,0.3470
KCTD17,5.43,5.53,0.31,0.47,0.024,0.4208,25,0.5370
C4orf50,2.62,2.66,0.22,0.26,0.024,0.5300,25,0.6390
ALOX15B,2.4,2.44,0.1,0.35,0.024,0.6007,25,0.7001
SSX6,4.74,4.66,0.34,0.26,-0.024,0.4420,25,0.5570
NDUFA8,6.21,6.32,0.09,0.17,0.024,0.0033,25,0.0087
PRR12,3.79,3.85,0.21,0.38,0.024,0.4880,25,0.6004
PCDHB13,2.74,2.7,0.14,0.32,-0.024,0.5153,25,0.6258
KRT14P /// KRT16 /// KRT16P2 /// KRT16P3,2.79,2.84,0.15,0.15,0.024,0.2692,25,0.3777
RPL36AP33,2.34,2.3,0.24,0.23,-0.024,0.5659,25,0.6704
DEFB105A /// DEFB105B,2.23,2.26,0.11,0.13,0.024,0.2769,25,0.3864
March 8,2.86,2.81,0.18,0.14,-0.024,0.2976,25,0.4096
ZNF560,2.05,2.01,0.16,0.13,-0.024,0.3508,25,0.4665
GNRHR,2.32,2.28,0.12,0.12,-0.024,0.2107,25,0.3103
KRT77,2.39,2.43,0.16,0.16,0.024,0.4512,25,0.5655
FGG,2.19,2.22,0.13,0.1,0.024,0.2864,25,0.3969
PPP1R2,5.61,5.71,0.19,0.18,0.024,0.0887,25,0.1513
MGC4294,2.32,2.36,0.16,0.24,0.024,0.4969,25,0.6084
CHTF8,8.23,8.37,0.17,0.35,0.024,0.0567,25,0.1034
MED13,7.01,7.13,0.35,0.32,0.024,0.2209,25,0.3225
GSTA3,2.48,2.44,0.18,0.12,-0.024,0.3575,25,0.4732
CSH1 /// CSH2,2.19,2.15,0.25,0.12,-0.024,0.5427,25,0.6498
PPP4R2,7.33,7.45,0.37,0.36,0.024,0.2399,25,0.3447
C19orf30,2.33,2.29,0.16,0.17,-0.024,0.4131,25,0.5293
C13orf35,2.87,2.92,0.27,0.23,0.024,0.5271,25,0.6365
PLXDC1,3.59,3.53,0.41,0.55,-0.024,0.6991,25,0.7814
KCTD19,2.33,2.37,0.18,0.11,0.024,0.3427,25,0.4582
GPR61,2.53,2.57,0.16,0.18,0.024,0.2848,25,0.3951
ZNF517,3.35,3.3,0.26,0.23,-0.024,0.4799,25,0.5931
IL5RA,2.27,2.23,0.11,0.1,-0.024,0.1707,25,0.2612
RGPD3 /// RGPD4,2.17,2.21,0.15,0.19,0.024,0.4064,25,0.5226
KRTAP5-1,2.54,2.59,0.23,0.13,0.024,0.4234,25,0.5397
TAF11,5.67,5.57,0.24,0.4,-0.024,0.3228,25,0.4369
MGST1,10.31,10.14,0.57,0.5,-0.024,0.2346,25,0.3388
NETO2,5.64,5.55,1.67,1.49,-0.024,0.8215,25,0.8746
ZNF768,4.19,4.12,0.24,0.28,-0.024,0.3552,25,0.4708
CCDC84,5.54,5.45,0.48,0.56,-0.024,0.5556,25,0.6617
KPNA1,5.78,5.88,0.43,0.33,0.024,0.3457,25,0.4612
C8orf44 /// SGK3,4.94,4.86,0.3,0.52,-0.024,0.4649,25,0.5789
MTA3,5.62,5.71,0.24,0.5,0.024,0.3575,25,0.4733
TAS2R43,2.01,2.04,0.09,0.12,0.024,0.3340,25,0.4486
THEM5,2.39,2.35,0.19,0.23,-0.024,0.5043,25,0.6153
GPR135,2.37,2.41,0.11,0.12,0.024,0.2225,25,0.3243
ANXA2P3,2.61,2.65,0.23,0.34,0.024,0.5991,25,0.6985
COQ10A,4.46,4.39,0.65,0.68,-0.024,0.6342,25,0.7283
IFNB1,2.15,2.12,0.14,0.15,-0.024,0.4028,25,0.5193
H2AFJ,3.54,3.48,0.2,0.46,-0.024,0.5879,25,0.6892
ARSB,3.4,3.46,0.21,0.3,0.024,0.5034,25,0.6145
LOC642633 /// LOC729444 /// LOC729461,2.04,2.01,0.29,0.2,-0.024,0.6496,25,0.7410
C9orf11,2.16,2.13,0.16,0.14,-0.024,0.2816,25,0.3915
P2RY4,2.22,2.25,0.22,0.15,0.024,0.4615,25,0.5755
DEFB108B /// DEFB108P1 /// LOC100133128,2.21,2.18,0.19,0.14,-0.024,0.4456,25,0.5605
PCDHGA5,2.72,2.76,0.21,0.27,0.024,0.5307,25,0.6397
ZNF827,4.95,4.86,0.16,0.39,-0.024,0.3924,25,0.5086
GRM6,2.79,2.84,0.29,0.22,0.024,0.5381,25,0.6461
ENAM,2.31,2.27,0.14,0.13,-0.024,0.2878,25,0.3985
TDG,4.35,4.42,0.25,0.19,0.024,0.2642,25,0.3722
PRSS55,2.26,2.22,0.14,0.16,-0.024,0.3250,25,0.4391
SRGAP2,3.01,3.06,0.15,0.16,0.024,0.2941,25,0.4056
OSBPL5,3.69,3.63,0.21,0.27,-0.024,0.3587,25,0.4745
NLRP4,2.54,2.49,0.26,0.24,-0.024,0.6202,25,0.7162
FAM104B,6.29,6.19,0.44,0.56,-0.024,0.4671,25,0.5811
OK/SW-CL.58,2.12,2.15,0.2,0.24,0.024,0.5942,25,0.6943
MRPS18A,5.22,5.31,0.25,0.26,0.024,0.2692,25,0.3777
IAPP,2.02,1.99,0.11,0.1,-0.024,0.2750,25,0.3842
NCRNA00114,2.57,2.53,0.19,0.16,-0.024,0.4404,25,0.5556
KIR3DS1,2.02,1.99,0.39,0.16,-0.024,0.7086,25,0.7893
HRH3,2.61,2.66,0.16,0.12,0.024,0.2121,25,0.3121
NCEH1,4.76,4.84,0.72,0.44,0.024,0.6756,25,0.7626
BCORL2,3.2,3.26,0.23,0.26,0.024,0.4369,25,0.5523
ZNF76,3.12,3.17,0.17,0.16,0.024,0.2511,25,0.3580
PROL1,2.43,2.39,0.39,0.22,-0.024,0.6852,25,0.7700
MMADHC,9.88,10.05,0.19,0.36,0.024,0.0407,25,0.0777
ZNF124,4.42,4.49,0.61,0.55,0.024,0.6219,25,0.7176
OMA1,7.72,7.85,0.34,0.46,0.024,0.1865,25,0.2810
PIK3C2G,2.15,2.12,0.16,0.19,-0.024,0.5085,25,0.6194
C2orf64,6.65,6.77,0.24,0.27,0.024,0.1627,25,0.2513
FAM108B1,4.44,4.37,0.37,0.34,-0.024,0.5275,25,0.6368
OR51F1,2.18,2.14,0.13,0.19,-0.024,0.4792,25,0.5925
TMEM134,5.86,5.96,0.24,0.33,0.024,0.1930,25,0.2889
RPS10,12.4,12.6,0.22,0.22,0.024,0.0030,25,0.0079
OTUD6A,3.06,3.01,0.22,0.25,-0.024,0.4931,25,0.6048
FAM115C,2.49,2.45,0.2,0.15,-0.024,0.4385,25,0.5538
LOC100132288 /// MAFIP /// TEKT4P1,7.91,8.04,0.28,0.21,0.024,0.1344,25,0.2145
PRKCG,2.61,2.66,0.13,0.13,0.024,0.1864,25,0.2808
OR8A1,2.23,2.27,0.19,0.15,0.024,0.4351,25,0.5504
LOC400696,2.34,2.38,0.23,0.31,0.024,0.6151,25,0.7121
TMC3,2.96,2.91,0.18,0.14,-0.024,0.3010,25,0.4133
TRIM35,4.05,4.12,0.22,0.28,0.024,0.3925,25,0.5087
LOC645954,2.57,2.52,0.42,0.21,-0.024,0.6660,25,0.7546
FBN2,2.64,2.69,0.24,0.33,0.024,0.5893,25,0.6901
SPATA3,2.26,2.22,0.18,0.17,-0.024,0.5046,25,0.6156
SOST,2.36,2.4,0.14,0.21,0.024,0.4287,25,0.5448
CCNI,10.07,9.9,0.39,0.6,-0.024,0.2788,25,0.3885
CELF3,3.03,3.08,0.16,0.19,0.024,0.3012,25,0.4136
MOBP,2.31,2.27,0.12,0.12,-0.024,0.3480,25,0.4636
SEC24C,4.31,4.38,0.16,0.28,0.024,0.2606,25,0.3684
